timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-03-03,124.96,126.665,124.2351,125.93,125.93,5206649,0.0000,1.0
2022-03-02,122.59,124.64,121.8,123.86,123.86,4891435,0.0000,1.0
2022-03-01,122.67,123.39,120.7,121.35,121.35,4873331,0.0000,1.0
2022-02-28,122.21,123.3851,121.0388,122.51,122.51,6757332,0.0000,1.0
2022-02-25,122.05,124.2625,121.45,124.18,124.18,4460904,0.0000,1.0
2022-02-24,120.0,122.1,118.81,121.97,121.97,6563202,0.0000,1.0
2022-02-23,124.38,124.7,121.87,122.07,122.07,4086367,0.0000,1.0
2022-02-22,124.2,125.0,122.68,123.92,123.92,5306688,0.0000,1.0
2022-02-18,124.94,125.44,123.61,124.35,124.35,4609212,0.0000,1.0
2022-02-17,128.05,128.5,124.85,124.97,124.97,6796997,0.0000,1.0
2022-02-16,129.45,130.44,128.26,129.18,129.18,4875612,0.0000,1.0
2022-02-15,130.64,131.68,129.61,129.94,129.94,4395714,0.0000,1.0
2022-02-14,132.59,132.65,129.07,130.15,130.15,5345289,0.0000,1.0
2022-02-11,133.9,134.7099,132.38,132.69,132.69,4176155,0.0000,1.0
2022-02-10,135.47,136.56,133.17,133.52,133.52,5978640,1.6400,1.0
2022-02-09,137.84,138.35,136.83,137.79,136.118088192,5393478,0.0000,1.0
2022-02-08,137.23,137.52,135.78,137.02,135.357431193,4181825,0.0000,1.0
2022-02-07,137.45,137.8223,136.27,137.24,135.574761764,3759046,0.0000,1.0
2022-02-04,137.86,138.82,136.215,137.15,135.485853803,4142045,0.0000,1.0
2022-02-03,137.0,138.76,135.831,137.78,136.108209529,6100777,0.0000,1.0
2022-02-02,135.7,137.555,135.26,137.25,135.584640426,5357237,0.0000,1.0
2022-02-01,133.76,135.96,132.5,135.53,133.885510506,6206448,0.0000,1.0
2022-01-31,134.09,134.09,132.3,133.57,131.94929269,5859043,0.0000,1.0
2022-01-28,133.19,134.53,131.79,134.5,132.868008286,5471497,0.0000,1.0
2022-01-27,133.66,134.75,132.08,132.52,130.912033146,5499566,0.0000,1.0
2022-01-26,136.47,137.07,133.13,134.26,132.630920391,8335992,0.0000,1.0
2022-01-25,129.14,137.3361,128.3,136.1,134.448594259,19715698,0.0000,1.0
2022-01-24,127.99,129.15,124.193,128.82,127.256928085,13777648,0.0000,1.0
2022-01-21,131.65,131.87,129.27,129.35,127.780497189,5906950,0.0000,1.0
2022-01-20,131.26,132.88,130.5705,130.82,129.23266055,5278244,0.0000,1.0
2022-01-19,132.9,133.9,131.5,131.58,129.983438887,4099035,0.0000,1.0
2022-01-18,132.95,133.89,131.78,132.94,131.326936964,5236258,0.0000,1.0
2022-01-14,134.55,135.14,133.3,134.21,132.581527079,5310305,0.0000,1.0
2022-01-13,133.9,136.05,133.56,134.76,133.124853507,4868349,0.0000,1.0
2022-01-12,133.25,134.47,131.37,133.59,131.969050015,5352014,0.0000,1.0
2022-01-11,130.52,133.25,127.97,132.87,131.257786327,11081210,0.0000,1.0
2022-01-10,134.47,136.2,133.38,135.03,133.39157739,5432807,0.0000,1.0
2022-01-07,134.9,135.6618,133.5111,134.83,133.194004143,5238099,0.0000,1.0
2022-01-06,138.2,138.4099,132.51,135.34,133.697815922,9908081,0.0000,1.0
2022-01-05,138.31,142.2,137.88,138.22,136.542870672,8956910,0.0000,1.0
2022-01-04,136.1,139.95,135.9,138.02,136.345297425,7300011,0.0000,1.0
2022-01-03,134.07,136.295,133.63,136.04,134.389322285,4610665,0.0000,1.0
2021-12-31,134.0,134.99,133.61,133.66,132.038200651,3315313,0.0000,1.0
2021-12-30,133.75,134.37,133.33,133.91,132.285167209,3158111,0.0000,1.0
2021-12-29,132.4,134.21,132.3,133.35,131.731962119,4239935,0.0000,1.0
2021-12-28,131.6,133.22,131.59,132.63,131.020698431,3447079,0.0000,1.0
2021-12-27,130.63,131.65,129.95,131.62,130.022953537,4294499,0.0000,1.0
2021-12-23,130.0,130.96,129.52,130.63,129.044965966,3649044,0.0000,1.0
2021-12-22,129.06,129.79,127.6,129.75,128.175643682,3923198,0.0000,1.0
2021-12-21,127.66,129.3356,127.66,128.97,127.40510802,4855972,0.0000,1.0
2021-12-20,125.72,127.2,124.7,127.06,125.518283516,4941411,0.0000,1.0
2021-12-17,125.87,128.64,125.2093,127.4,125.854158035,10382693,0.0000,1.0
2021-12-16,123.51,126.6399,123.475,125.93,124.401994673,7280537,0.0000,1.0
2021-12-15,123.8,124.815,122.18,123.11,121.616211897,4990028,0.0000,1.0
2021-12-14,122.35,125.03,122.3,123.76,122.258324948,5716124,0.0000,1.0
2021-12-13,123.76,124.3554,120.79,122.58,121.092642794,6847468,0.0000,1.0
2021-12-10,124.3,125.33,123.36,124.09,122.584320805,4966921,0.0000,1.0
2021-12-09,122.15,123.95,121.79,123.57,122.070630364,4601092,0.0000,1.0
2021-12-08,122.0,123.38,121.52,123.02,121.527303936,5483948,0.0000,1.0
2021-12-07,120.475,122.08,120.07,121.58,120.104776561,5193991,0.0000,1.0
2021-12-06,119.4,121.15,119.4,119.91,118.455039953,4785560,0.0000,1.0
